Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
15	12.15868	1.728511	15.67352	8.576242	65.7	51.81322	150.0	0.0	1000.0	31195.0	0.06498958333333334	1.1812303	0.33658326	2.1113694	0.1404119	7.6259866	5.4518204	39.75813	-5.8979917	7.450581e-09	-0.0027207248	4.4703485e-09	0.0030388816	0.081496246	-0.014036658	82.66842	-21.238556	0	0	1.0	1.7729666	0.0030058604	480000	302.7807312011719
16	13.212361	1.6883087	17.099632	8.762334	59.1	41.264473	156.0	0.0	1000.0	32968.0	0.06464313725490196	1.2774479	0.3625722	2.1585858	0.1407202	6.8362355	5.167156	43.84322	-3.6724162	-1.4901161e-09	-0.00031303865	-5.9604646e-09	0.0020286082	0.067720436	-0.010284426	68.504776	-13.762968	0	0	1.0	1.7717663	0.0065153195	510000	320.7841966152191
17	13.738055	1.8825581	16.57211	9.631581	70.96667	65.573105	259.0	0.0	1000.0	35097.0	0.06499444444444444	1.3587023	0.32868215	2.2108734	0.31224832	6.6707907	4.01314	30.21278	-4.2572427	-4.4703485e-09	-0.0016404256	8.34465e-08	0.00418548	0.07490176	-0.008624364	76.989174	-16.695278	0	0	1.0	1.7704235	0.007613507	540000	339.03351283073425
18	13.655613	2.0751536	16.832651	8.141468	80.63333	41.35415	173.0	0.0	1000.0	37516.0	0.06581754385964912	1.3554714	0.36549294	2.248982	0.26607484	7.4249406	5.3182025	35.886593	-2.9917674	-5.9604646e-09	-0.0028334968	-5.9604646e-09	0.0002890095	0.08709958	-0.010922984	67.59676	-13.293988	0	0	1.0	1.768975	0.002727618	570000	357.08113074302673
19	14.230558	2.1473415	19.10419	10.485029	59.766666	48.223568	150.0	0.0	1000.0	39309.0	0.065515	1.3967336	0.3640064	2.2567708	0.24296747	7.8523803	5.177202	36.550026	-2.048074	3.3527612e-09	-0.002242869	-2.3841858e-08	-0.000854934	0.07103568	-0.009947335	65.01021	-16.43436	0	0	1.0	1.7674475	0.0015432835	600000	375.1754801273346
20	14.580341	1.9268137	18.053331	10.701486	76.4	49.253494	191.0	0.0	1000.0	41601.0	0.06603333333333333	1.4346213	0.3611702	2.3213124	0.34634402	7.0617194	5.4590135	36.796555	-3.3213725	2.1001323e-08	-0.0024353445	4.7683717e-08	0.0018896699	0.06900047	-0.008279207	76.68172	-17.080471	0	0	1.0	1.7659117	0.0012668121	630000	393.2957937717438
21	15.036693	2.1222312	19.761534	10.826142	83.7	49.382282	171.0	0.0	1000.0	44112.0	0.06683636363636364	1.4814515	0.34721252	2.3002076	0.3985407	7.6946545	5.31905	40.408905	-3.5504887	-7.0780515e-09	-0.001735482	8.940697e-09	0.0013136119	0.08423973	-0.010699561	78.740135	-21.891058	0	0	1.0	1.7644899	0.0010798196	660000	411.44968247413635
22	16.0282	2.1895788	21.660782	13.445835	51.9	47.224537	158.0	0.0	1000.0	45669.0	0.06618695652173913	1.5457278	0.34755123	2.2681904	0.37371403	7.212979	4.3384056	34.253487	-1.989416	-1.4901161e-08	-0.0025859117	4.7683717e-08	-0.00075659825	0.090286545	-0.011524479	45.677914	-12.26482	0	0	1.0	1.7631133	0.0015354946	690000	429.6935896873474
23	15.906427	1.8106141	19.072996	11.197357	63.433334	44.10494	172.0	0.0	1000.0	47572.0	0.06607222222222223	1.6326507	0.35482413	2.506365	0.5048855	5.897617	4.332278	33.15161	-2.696759	-5.9604646e-09	-0.0018127423	-1.7881394e-08	-0.00086235104	0.07751542	-0.007994814	46.29914	-10.981127	0	0	1.0	1.761802	0.001215499	720000	448.10138177871704
24	16.152826	1.9492182	19.111355	11.9305525	62.266666	51.5564	239.0	0.0	1000.0	49440.0	0.06592	1.607319	0.35120565	2.435661	0.43450668	6.394344	4.536546	31.838015	-3.0051708	1.4901161e-09	-0.0090473965	-3.576279e-08	-0.0041545974	0.085995235	-0.011292183	59.38146	-15.401777	0	0	79.0	1.7606361	0.006035432	750000	470.5956058502197
25	17.35719	1.8794923	21.889505	12.882132	73.5	45.054596	198.0	0.0	1000.0	51645.0	0.06621153846153846	1.6549225	0.3492195	2.398597	0.48474857	7.910014	5.3737273	33.50105	-3.2870421	-8.5681675e-09	-0.009281745	2.9802323e-09	0.0018282309	0.09326364	-0.017248312	59.51122	-16.773743	0	0	79.0	1.719825	0.005625177	780000	492.95593452453613
26	17.068787	1.5287714	19.667921	14.052932	72.933334	36.619606	142.0	5.0	1000.0	53833.0	0.06646049382716049	1.7204354	0.35480952	2.4827225	0.55067164	7.344967	4.397865	31.642096	-1.1987877	5.9604646e-09	-0.009005928	1.4901161e-08	0.0043065334	0.07574146	-0.0101168435	51.125763	-13.632907	0	0	79.0	1.6908776	0.005471379	810000	515.34814453125
27	18.02696	1.8451167	21.858091	14.003833	69.76667	38.720093	151.0	0.0	1000.0	55926.0	0.06657857142857143	1.748944	0.34485078	2.4846132	0.56995595	8.115955	5.0459967	33.91956	-2.2449744	-4.4703485e-09	-0.008428746	-2.682209e-08	-4.571676e-06	0.07612093	-0.01227469	47.85234	-16.087492	0	0	79.0	1.6679844	0.0052284277	840000	537.7810871601105
28	18.876312	2.0329416	22.508917	14.308598	65.166664	37.07747	161.0	3.0	1000.0	57881.0	0.06652988505747126	1.8290644	0.35094312	2.5972233	0.61469406	6.973178	4.4769893	30.420723	-2.9585094	-8.940697e-09	-0.0012096654	-1.6391278e-08	0.0029468096	0.08860727	-0.01639664	40.439774	-12.995367	0	0	11.0	1.6306816	0.0068080844	870000	556.5991628170013
29	17.890524	1.6377794	21.64794	15.3732	73.23333	50.282322	186.0	0.0	1000.0	60078.0	0.06675333333333333	1.8811619	0.3637068	2.7090147	0.7346922	6.507271	4.5155206	33.28293	-4.0206733	5.9604646e-09	0.025737632	-1.3113022e-07	0.00044210552	0.10034199	-0.01611275	58.11831	-20.694426	0	0	1.0	1.6249069	0.03910206	900000	574.5737030506134
30	18.114868	1.5522295	22.684534	15.383852	63.5	47.487366	189.0	0.0	1000.0	61983.0	0.06664838709677419	1.8446271	0.36734882	2.6833487	0.65713996	7.2895703	4.826129	34.155872	-5.1147356	1.0430813e-08	0.009920577	0.0	-0.0031073526	0.067861184	-0.010920478	54.194702	-19.553692	0	0	1.0	1.6237262	0.020107916	930000	592.650506734848
31	18.621328	1.7804406	22.699251	14.736648	69.96667	45.23014	172.0	0.0	1000.0	64082.0	0.06675208333333334	1.8476222	0.31314623	2.4680133	0.85764354	7.0709825	5.180325	36.3801	-4.364149	-1.1920929e-08	0.0027554464	7.152558e-08	0.00046899877	0.07604821	-0.0104084145	54.23278	-17.462982	0	0	1.0	1.622743	0.00961553	960000	611.0650417804718
32	18.19792	1.7033697	22.715403	14.727561	63.133335	36.697624	129.0	0.0	1000.0	65976.0	0.06664242424242424	1.8738517	0.33635828	2.608354	0.7900055	7.126448	4.622625	35.12673	-2.8274071	3.3527612e-09	0.0014107415	1.1920929e-08	0.0002045475	0.06714823	-0.007604447	45.409935	-16.20423	0	0	1.0	1.6220211	0.008470028	990000	629.4767498970032
33	18.283012	1.8164786	21.837395	13.304054	67.3	44.33971	153.0	0.0	1000.0	67995.0	0.06666176470588235	1.866359	0.33428267	2.5577853	0.7148806	6.7644506	4.6791916	33.8767	-3.930975	2.2351742e-08	-3.3279415e-05	0.0	5.0733237e-05	0.07176159	-0.009980792	55.950813	-20.57232	0	0	1.0	1.621458	0.006494481	1020000	647.5888841152191
