Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	11.835146	3.7812443	20.757044	3.8784015	226.96666	84.34473	382.0	94.0	1000.0	109923.0	0.24427333333333334	1.1527162	0.6318049	2.5175307	-0.7522031	24.438396	10.442711	63.14063	4.290643	-2.0345052e-09	-0.009940647	3.2552084e-08	6.4697265e-06	0.17442542	-0.040568158	139.76393	-29.156815	0	0	2.0571465	0.0	1.6437936	0.009409527	450000	1609.3493332862854
15	10.5533085	4.0173774	16.766235	1.4277191	204.76666	69.77329	370.0	90.0	1000.0	116066.0	0.24180416666666665	1.1293257	0.6205831	2.3567638	-0.76034135	22.426844	10.664847	60.447872	2.1646934	0.0	-0.010519513	3.6621095e-08	-0.0010197348	0.20171668	-0.04461056	128.89148	-25.920044	0	0	1.8991303	0.0	1.6163313	0.0090977475	480000	1716.540020942688
16	13.383885	3.4913762	20.823975	7.2508492	231.23334	74.07685	437.0	101.0	1000.0	123003.0	0.24118235294117646	1.234099	0.6449713	2.4852154	-0.8298133	22.179575	10.127035	61.179905	2.7218087	1.3224284e-08	-0.009311764	-1.0579427e-07	-0.0011805868	0.24247338	-0.06648655	132.03302	-23.729881	0	0	2.0500002	0.0	1.579328	0.009038039	510000	1823.5722968578339
17	13.783783	4.1516223	21.934456	2.7995353	202.16667	67.18982	340.0	72.0	1000.0	129068.0	0.23901481481481482	1.426407	0.6551373	2.6848137	-0.5104541	22.331347	10.4128065	61.085957	1.505077	-5.086263e-09	-0.0103827305	5.6966147e-08	-0.004621126	0.23166895	-0.04282701	110.97935	-22.232384	0	0	1.9350932	0.0	1.5481482	0.009551562	540000	1930.5326764583588
18	13.895228	4.0501943	21.430119	4.701407	231.93333	65.026115	338.0	110.0	1000.0	136026.0	0.2386421052631579	1.4150684	0.62558293	2.6483657	-0.6007548	22.358953	10.143974	58.694405	2.1714087	-2.0345052e-09	-0.00887042	-4.0690104e-08	-0.0015912353	0.22332096	-0.039012462	125.89405	-24.027306	0	0	2.28723	0.0	1.5453696	0.009558118	570000	2037.9785208702087
19	13.999256	3.6640723	20.913761	6.2995358	216.33333	72.6711	383.0	90.0	1000.0	142516.0	0.23752666666666666	1.4314469	0.615098	2.6096137	-0.3900491	23.234524	10.281414	61.655106	2.43196	-2.0345052e-09	-0.008399211	7.73112e-08	-0.0039965943	0.19957124	-0.04495795	137.42607	-32.82202	0	0	2.3594003	0.0	1.5322031	0.00939348	600000	2145.176367998123
20	15.01778	2.1218474	19.48789	10.626569	248.7	85.94423	411.0	86.0	1000.0	149977.0	0.23805873015873016	1.5395315	0.600944	2.6391857	-0.65511805	23.629288	11.139015	63.06264	-0.97077507	-6.1035155e-09	-0.008613271	8.5449216e-08	-0.0015341511	0.17349954	-0.031404927	153.87093	-39.048042	0	0	2.2800179	0.0	1.4949524	0.009402559	630000	2252.751978635788
21	14.995147	3.6650188	23.710283	5.2126265	231.1	85.068344	464.0	58.0	1000.0	156910.0	0.23774242424242426	1.5436671	0.559698	2.535541	-0.4731235	24.05901	11.453263	69.320274	-2.0008817	1.0172526e-08	-0.008567128	4.8828124e-08	-0.00968103	0.19663545	-0.036488444	148.63959	-36.0968	0	0	2.3962939	0.0	1.4760128	0.00973651	660000	2360.1728224754333
22	14.462785	3.0014577	20.683609	7.0737844	229.9	80.49569	517.0	89.0	1000.0	163807.0	0.23740144927536233	1.5425591	0.6075427	2.63098	-0.66203314	23.660698	11.460171	68.36239	1.1339209	8.138021e-09	-0.008369353	8.138021e-08	-0.005945394	0.2102699	-0.049379498	146.2014	-40.333214	0	0	2.408507	0.0	1.4623094	0.009777046	690000	2467.408878803253
23	15.235265	2.9888802	20.0985	8.701119	219.93333	83.64047	414.0	82.0	1000.0	170405.0	0.2366736111111111	1.5627126	0.60346067	2.6428838	-0.7733455	24.021595	12.000216	74.010086	2.0110145	1.2207031e-08	-0.008798604	1.0172526e-07	0.0011998698	0.17744668	-0.038673535	143.33574	-35.651794	0	0	2.2795484	0.0	1.4452717	0.009367571	720000	2574.517374277115
