Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
14	-0.7702948	1.5364865	2.9707005	-4.474161	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.03756713	0.23523276	0.9335154	-0.82019556	-0.0014821513	0.02669856	0.18983889	-0.15330052	0.0	-0.044263996	-2.4239222e-10	-1.4764924e-05	0.11326583	-0.08474119	0.00074868905	-0.00015053828	0	0	0.4537218	0.0	11.037945	0.00895795	900000	2516.9901735782623
15	-0.79765433	1.572061	2.695918	-4.3970394	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.08099991	0.27419066	0.8888776	-1.0341648	0.0007638021	0.024990305	0.1460794	-0.16983953	1.6276042e-08	-0.04460393	-2.7020772e-10	1.7174681e-05	0.13981429	-0.107379735	0.00066156616	-0.00013462803	0	0	0.455586	0.0	11.039489	0.008990908	960000	2684.2577106952667
16	-0.58403945	1.5160829	2.0450628	-4.2876315	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.04697445	0.26687762	0.95354205	-0.9677697	-4.316637e-05	0.023159282	0.19192389	-0.14564303	6.1035155e-09	-0.045614395	-1.9470851e-10	3.4801085e-06	0.13000858	-0.1017785	0.0005637497	0.0011124887	0	0	0.4434712	0.0	11.038214	0.008869102	1020000	2853.2017965316772
17	-0.72562915	1.5103722	2.1194725	-4.8648605	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.004957855	0.21806051	0.7598996	-0.8105326	0.0105044395	0.03970555	0.16016194	-0.20609395	1.4241537e-08	-0.044304855	-3.8146972e-10	6.645584e-06	0.12069066	-0.09302299	0.0016882804	-0.0012035058	0	0	0.45908034	0.0	11.041283	0.0089361	1080000	3029.83531332016
18	-0.50080895	1.5001031	3.0528622	-4.1648355	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.04632268	0.24520196	0.93072295	-1.0053773	0.00018093163	0.02146811	0.15194957	-0.13691133	3.0517577e-09	-0.04524372	2.582868e-11	9.009751e-06	0.12470708	-0.095809296	0.0004763847	-9.364894e-05	0	0	0.4483149	0.0	11.033048	0.008933618	1140000	3202.5253150463104
19	-0.37499946	1.4077371	3.137316	-3.60187	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.064306974	0.25646615	0.8958099	-1.0609208	0.00059245137	0.018832644	0.1299898	-0.12013565	2.0345052e-08	-0.044346116	2.78155e-10	6.730914e-06	0.12221313	-0.09414075	0.00036999374	-6.519459e-05	0	0	0.45700297	0.0	11.046067	0.008876217	1200000	3371.791155099869
20	-0.82878035	1.8248947	4.0594034	-4.1327534	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.0019842323	0.25220802	0.92729914	-0.87617815	6.1510254e-05	0.01809199	0.14297196	-0.12255258	1.4241537e-08	-0.045204103	2.4239222e-10	-1.7647859e-05	0.13332519	-0.10392286	0.000351994	-6.0115854e-05	0	0	0.45210853	0.0	11.044736	0.008930436	1260000	3541.2872173786163
21	-0.8100764	1.7292676	5.034347	-4.4233513	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.008558364	0.2704447	1.041198	-0.996522	7.662409e-05	0.017016785	0.10788378	-0.13852158	-2.0345052e-09	-0.043990735	6.755193e-11	3.8172093e-06	0.10978999	-0.0829943	0.0003029746	-3.6527694e-05	0	0	0.46101528	0.0	11.048986	0.0088971155	1320000	3709.6257803440094
22	-0.9055279	1.4799781	2.0692072	-4.835715	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.016073516	0.24183714	0.8969744	-0.73665094	-0.00030950666	0.017870922	0.1378504	-0.12323078	3.2552084e-08	-0.04599318	-4.053116e-10	1.5641466e-05	0.112005636	-0.08874707	0.0003362903	-6.406687e-05	0	0	0.4413243	0.0	11.0505295	0.008889907	1380000	3877.7418179512024
23	-0.7330492	1.7919922	2.8021035	-4.2772784	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.055036	0.2998098	0.90552574	-1.0044887	0.00021260402	0.015832132	0.12464956	-0.13758554	5.086263e-09	-0.04495491	-2.9802324e-11	-3.7342768e-06	0.14255808	-0.11406582	0.00026525234	-4.144617e-05	0	0	0.45749328	0.0	11.036811	0.008947442	1440000	4047.002524137497
