Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.7108384	1.9557941	3.3391447	-6.617584	77.98333	78.98322	476.0	0.0	1000.0	4679.0	0.07798333333333334	0.06456106	0.7704986	3.1151845	-2.8353288	-0.21668456	0.75967157	2.9930446	-2.8835034	-3.382365e-08	-0.057584688	-6.103516e-08	-0.19079168	0.8166026	-0.6618623	205.03976	-105.84551	1.0	0.03204441	1.0	11.027262	0.116066694	60000	246.74320554733276
1	-1.9713137	1.9422743	1.8849165	-6.4674897	70.96667	65.746475	315.0	0.0	1000.0	8937.0	0.074475	-0.16677311	0.20150559	0.75334895	-1.2222301	6.7937827	6.963932	24.07974	-6.274893	-2.8810268e-08	-0.030213524	-6.510417e-08	-0.095037796	0.14337419	-0.01809375	86.66922	-19.892319	1.0320444	0.032507658	1.0	11.028603	0.051546622	120000	493.5939853191376
2	-1.8964115	2.2453403	3.1638935	-7.5816016	61.933334	62.22697	294.0	0.0	1000.0	12653.0	0.07029444444444445	-0.19564994	0.18433416	0.76887673	-1.0837469	5.0710735	6.6941705	29.431828	-9.860947	-2.997742e-08	-0.024841327	-4.4759116e-08	-0.074589975	0.14601927	-0.022878915	87.570435	-17.69889	1.0645521	0.032506347	1.0	11.0284815	0.04327492	180000	739.5294146537781
3	-1.7390807	2.2916825	4.0737205	-7.0269876	60.216667	64.249016	289.0	0.0	1000.0	16266.0	0.067775	-0.16399688	0.23118898	0.9596638	-1.4409323	5.684057	7.0272303	33.350246	-7.4922624	-5.9351796e-10	-0.027336251	8.138021e-09	-0.091854796	0.13292131	-0.018099904	64.37775	-14.197994	1.0970584	0.0328151	2.0	11.027564	0.06036801	240000	985.1521496772766
4	-1.6174719	2.3472261	5.692646	-7.0652776	58.5	55.47447	200.0	0.0	1000.0	19776.0	0.06592	-0.20419987	0.18740658	0.6739673	-1.0228786	6.0299406	7.328569	37.63799	-9.8343	1.648075e-08	-0.027773008	2.746582e-08	-0.087939374	0.14072767	-0.021054782	51.63304	-13.030346	1.1298735	0.033075094	2.0	11.026328	0.05957047	300000	1231.199805021286
5	-1.6565033	2.4995902	3.155026	-7.510946	62.45	66.82051	279.0	0.0	1000.0	23523.0	0.06534166666666667	-0.13565719	0.2244582	0.9119395	-0.9433943	4.947309	6.145194	34.979633	-6.845716	8.138021e-09	-0.031109989	8.138021e-09	-0.08978428	0.13294724	-0.02199158	97.00606	-31.70337	1.1629486	0.033677816	2.0	11.024891	0.054913513	360000	1476.9471695423126
6	-2.5420942	2.3937001	3.4164834	-8.6447735	60.366665	65.131134	317.0	0.0	1000.0	27145.0	0.06463095238095239	-0.16636613	0.23134065	1.0080813	-1.0459824	5.3618	7.252775	42.11198	-11.975993	1.21081625e-08	-0.037029225	1.6276042e-08	-0.096585944	0.123478636	-0.02840998	81.70966	-30.597912	1.1966264	0.034136057	2.0	11.0238285	0.050396174	420000	1722.6770067214966
7	-1.8454607	2.2889626	5.7054415	-7.1242447	52.266666	38.689735	134.0	0.0	1000.0	30281.0	0.06308541666666667	-0.25795898	0.23306026	0.90601	-1.0832068	5.266575	6.603548	40.599724	-7.6445737	-1.2557771e-08	-0.024992798	-2.4414062e-08	-0.07412424	0.124013014	-0.022327967	52.513584	-16.367947	1.2307625	0.034007072	2.0	11.023113	0.050540373	480000	1969.1172137260437
8	-1.187876	2.2285202	4.850269	-6.515535	72.21667	81.624565	405.0	0.0	1000.0	34614.0	0.0641	-0.15063426	0.24734877	0.96223396	-0.9478753	4.9363747	5.497008	33.841686	-5.9222903	1.3158431e-08	-0.03780096	2.0345052e-08	-0.0984957	0.11097259	-0.02072063	125.39809	-47.323288	1.2647696	0.035158396	2.0	11.021948	0.058272038	540000	2215.0197443962097
9	-1.7782667	2.0704653	2.1505125	-5.5687833	60.766666	57.488655	272.0	0.0	1000.0	38260.0	0.06376666666666667	-0.17345136	0.23494677	1.055376	-0.9150433	5.7997956	7.6786966	50.498188	-8.807726	-8.8459523e-10	-0.0427273	0.0	-0.12064052	0.08643874	-0.013820246	74.44944	-26.888718	1.299928	0.03562677	2.0	11.021285	0.08871308	600000	2461.166531562805
