Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.05831444	1.3082378	2.9989805	-2.2866588	125.36667	123.12663	521.0	0.0	1000.0	3761.0	0.12536666666666665	0.21670951	0.25424275	1.3269676	-0.5805723	-1.2209032	0.3315655	0.35191244	-1.8049903	-2.1870932e-08	0.0090904515	-3.2552084e-08	-0.0433846	0.14687021	-0.10032591	585.5172	-209.61752	1.0	0.032041073	1.0	1.837877	0.08363292	30000	95.03796672821045
1	-0.6098081	1.3829799	3.6714318	-2.5544565	116.6	121.471146	370.0	0.0	1000.0	7259.0	0.12098333333333333	0.0090120565	0.05369898	0.28243548	-0.22143263	11.517254	3.1459076	17.307198	2.902999	-5.812102e-08	0.019753704	-1.3020833e-07	-0.030859774	0.04406586	-0.0097828135	363.3896	-41.134247	1.0320411	0.032612085	1.0	1.8382947	0.112540476	60000	186.77951836585999
2	0.09571085	1.2842909	2.2938387	-2.789898	129.86667	134.37823	579.0	0.0	1000.0	11155.0	0.12394444444444444	-0.027278686	0.06434008	0.28332284	-0.26939875	13.889985	8.331868	23.65385	-5.7722197	1.9707962e-09	-0.0022130085	0.0	-0.009663843	0.04036992	-0.008597888	400.49075	-31.085205	1.0646532	0.033270955	1.0	1.8389072	0.011861787	90000	278.8393211364746
3	0.4485016	1.5872556	3.99279	-2.06282	127.13333	134.19284	443.0	0.0	1000.0	14969.0	0.12474166666666667	0.01519218	0.09134903	0.33496556	-0.25745118	15.413711	5.755068	22.104975	-1.8659191	-5.4016567e-08	-0.02185621	-9.765625e-08	-0.057390545	0.040888578	-0.0030805431	349.4708	-19.095062	1.0979241	0.034068942	4.0	1.8390589	0.03708114	120000	370.10568141937256
4	0.33475697	1.4243027	3.101735	-1.7278504	74.73333	83.546364	253.0	0.0	1000.0	17211.0	0.11474	0.00614406	0.11843074	0.44561473	-0.27106503	10.910226	6.356065	23.633343	0.08765752	2.3765091e-08	-0.00017771787	4.4759116e-08	-0.009125773	0.03434262	-0.004896244	198.90877	-29.812378	1.131993	0.032824516	3.0	1.8395416	0.018466923	150000	461.83611273765564
5	0.3210988	1.5913928	3.4445398	-2.344942	101.2	92.57263	363.0	0.0	1000.0	20247.0	0.11248333333333334	0.04908101	0.13561615	0.4554749	-0.28028345	8.343289	4.1512504	24.865433	-1.1979153	-3.3150815e-08	-0.005311187	-6.510417e-08	-0.010431835	0.032218087	-0.0038898382	217.40216	-12.312683	1.1648176	0.033156037	2.0	1.8395517	0.004941031	180000	553.8913471698761
6	0.47993675	1.2468435	2.3871572	-1.517775	60.566666	73.84474	317.0	0.0	1000.0	22064.0	0.10506666666666667	0.022121575	0.13285215	0.45747373	-0.303355	9.93289	5.442329	27.986992	-3.718864	6.788357e-09	-0.0040579643	1.6276042e-08	-0.01222456	0.02805341	-0.00286364	167.08357	-36.910126	1.1979736	0.031843066	2.0	1.8393555	0.012856067	210000	644.8998582363129
7	0.71733814	1.5173131	4.20575	-1.2207223	60.233334	65.55694	257.0	0.0	1000.0	23871.0	0.0994625	0.03545742	0.14576577	0.48120588	-0.32934567	6.127788	5.4071856	30.242628	-2.075826	-2.663566e-09	-0.007684887	-8.138021e-09	-0.019970147	0.03526949	-0.0047841575	178.8215	-16.171097	1.2298167	0.030998707	5.0	1.8390191	0.014878261	240000	736.3112609386444
8	0.7257756	1.4232142	4.628375	-1.5050638	43.9	89.19542	336.0	0.0	1000.0	25188.0	0.0932888888888889	0.08259125	0.15748468	0.63533455	-0.2618342	6.5195246	2.8511415	15.825872	0.25272074	8.176952e-09	-0.00252871	1.6276042e-08	-0.00668597	0.028838623	-0.0026599374	151.78513	-8.029755	1.2608154	0.029113173	2.0	1.8392618	0.006352895	270000	827.623503446579
9	0.8521804	1.5415969	3.8769279	-2.3722234	20.533333	37.871475	145.0	0.0	1000.0	25804.0	0.08601333333333333	0.06516734	0.16003373	0.5211208	-0.27925256	4.4281926	2.5264034	12.837425	-2.0196164	8.72415e-09	-0.001884337	1.6276042e-08	-0.0081687495	0.02966407	-0.004327476	62.382397	-6.1852684	1.2899286	0.025962949	4.0	1.8394825	0.014141052	300000	919.6703090667725
10	0.33783865	1.589967	3.4728534	-2.0271053	48.6	72.33192	281.0	0.0	1000.0	27262.0	0.0826121212121212	0.033172313	0.18654461	0.7013494	-0.32486972	1.4595988	1.7743437	8.384004	-2.0546136	5.0217373e-08	-0.0025204099	9.765625e-08	-0.008406868	0.027546274	-0.007276237	198.09668	-30.617447	1.3158915	0.025140643	2.0	1.8397747	0.015284161	330000	1010.9482922554016
11	0.5588345	1.6934446	4.1388803	-1.6657567	32.333332	57.06332	208.0	0.0	1000.0	28232.0	0.07842222222222223	0.042171657	0.20350808	0.6784469	-0.45392686	5.332738	4.0982814	11.238607	-2.2481725	-2.9236409e-09	-0.015044038	-8.138021e-09	-0.02843579	0.03562666	-0.0062998794	107.19891	-7.283371	1.3410321	0.024333239	23.0	1.8402642	0.014606931	360000	1102.8864574432373
12	1.6649808	2.0379026	4.727046	-2.2469697	67.63333	101.815674	343.0	0.0	1000.0	30261.0	0.0775923076923077	0.09355401	0.22466311	0.81847906	-0.43613353	3.6438174	3.6092687	13.901566	-1.3446074	1.5052153e-09	-0.01733102	0.0	-0.031315234	0.03646118	-0.010274231	185.31554	-21.109299	1.3653654	0.025257349	13.0	1.8309557	0.010580481	390000	1194.3985455036163
13	2.0401497	2.8158438	7.2933607	-2.7915385	21.4	50.249115	208.0	0.0	1000.0	30903.0	0.07357857142857142	0.17451914	0.28585386	1.0413096	-0.3834456	5.139175	5.2842293	23.643888	-2.580033	3.0318072e-09	-0.011479476	8.138021e-09	-0.023694824	0.03651749	-0.008487275	70.06631	-36.55552	1.3906227	0.023296833	20.0	1.8236122	0.012456055	420000	1285.744234085083
14	1.0396281	2.5550773	6.1959553	-2.0354288	53.866665	78.93615	264.0	0.0	1000.0	32519.0	0.07226444444444445	0.107254066	0.31310445	1.1709415	-0.5498896	3.1096563	5.6667614	34.110867	-1.4978042	-4.6824496e-08	-0.004403219	-8.138021e-08	-0.009458985	0.032043595	-0.0062819608	204.8709	-44.04399	1.4139196	0.022118092	1.0	1.8165686	0.0073964405	450000	1376.699048280716
15	0.7041987	2.3483908	6.17762	-2.2038207	55.3	78.33439	215.0	0.0	1000.0	34178.0	0.07120416666666667	0.07657856	0.30732757	1.1913453	-0.46533054	5.277764	4.265187	11.324502	-2.6277916	1.0488478e-09	-0.005677775	-8.138021e-09	-0.01795315	0.023829356	-0.0044408515	174.40033	-32.61931	1.4360377	0.022530913	2.0	1.8160768	0.01727873	480000	1467.5228118896484
16	1.9081385	1.9117274	5.730793	-2.371326	97.96667	97.81496	319.0	0.0	1000.0	37117.0	0.07277843137254902	0.17902099	0.28233007	1.0450475	-0.3884915	8.908558	7.863956	38.142887	-1.116152	2.3035648e-08	-0.0052372376	3.2552084e-08	-0.017508576	0.02996517	-0.00539539	358.7918	-59.267273	1.4585686	0.025337696	2.0	1.8152962	0.018528322	510000	1558.9134788513184
17	1.4776821	2.9697406	7.5806527	-2.8122888	49.9	69.35914	232.0	0.0	1000.0	38614.0	0.07150740740740741	0.15394793	0.32664874	1.201331	-0.4132767	9.299698	5.4617033	17.865885	-0.624306	6.552599e-09	-0.0048881695	0.0	-0.011168351	0.028709745	-0.0057665985	180.11935	-28.310318	1.4839063	0.025158286	4.0	1.8139637	0.012722574	540000	1650.1656725406647
