Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.5171999	1.2703362	2.4276278	-2.5889907	47.75	65.93472	237.0	0.0	1000.0	2865.0	0.04775	0.06487554	0.7034565	2.588487	-2.82201	-0.029983016	0.5066494	2.044125	-2.1891692	-6.392797e-08	-0.044140942	-1.3020833e-07	-0.16130085	0.5940455	-0.5026827	140.6436	-40.166435	1.0	0.032051086	1.0	11.027262	0.120138034	60000	181.88970303535461
1	-0.3465554	1.2337785	3.6199868	-2.7218506	44.666668	68.41751	369.0	0.0	1000.0	5545.0	0.04620833333333333	-0.05492801	0.1295062	0.6100877	-0.75151354	4.6172566	4.174449	19.666016	-9.173175	1.7662327e-08	-0.025618263	4.0690104e-08	-0.079730526	0.07029502	-0.012781527	98.783035	-22.402405	1.0320511	0.032498598	1.0	11.026163	0.046784177	120000	372.24558687210083
2	-0.6544611	1.1438286	3.2140017	-3.8952086	54.033333	80.03561	346.0	0.0	1000.0	8787.0	0.04881666666666667	-0.04650459	0.113969795	0.48842308	-0.6031049	4.486984	5.8615217	33.369267	-9.629427	-5.118068e-09	-0.03685451	-6.1035155e-09	-0.10275947	0.056917533	-0.007463131	134.05309	-39.82395	1.0645497	0.033133626	1.0	11.027036	0.04953814	180000	554.4921054840088
3	-0.09359631	1.4290658	3.8704925	-2.1989968	46.616665	64.15036	285.0	0.0	1000.0	11584.0	0.048266666666666666	-0.061066825	0.1156786	0.47510248	-0.54001045	5.4148707	7.057904	44.612785	-13.149738	4.2584927e-09	-0.034357097	8.138021e-09	-0.09326443	0.07769528	-0.011248231	125.423744	-36.529495	1.0976833	0.03353238	1.0	11.026418	0.04512321	240000	742.6900894641876
4	-0.46959382	1.326192	4.2615995	-2.957876	72.25	102.19893	444.0	0.0	1000.0	15919.0	0.05306333333333333	-0.0034164176	0.110532515	0.5539561	-0.45243675	5.159916	4.588475	35.63483	-11.41662	-1.7755445e-08	-0.028044373	-3.2552084e-08	-0.08344821	0.06796315	-0.009745013	208.50903	-60.213837	1.1312157	0.033589244	1.0	11.024981	0.05295048	300000	944.8614678382874
5	-0.6193392	1.3388492	3.7326274	-2.6189537	65.65	82.97848	377.0	0.0	1000.0	19858.0	0.05516111111111111	-0.04433809	0.1123141	0.46000153	-0.5176272	6.9618225	8.253754	53.43965	-13.53562	6.557673e-09	-0.040839534	2.4414062e-08	-0.11061785	0.059834883	-0.008978769	167.83034	-48.17324	1.1648049	0.034576416	1.0	11.023191	0.05733855	360000	1122.1078810691833
6	-0.4720482	1.0340294	1.956739	-3.0539658	57.733334	91.877426	614.0	0.0	1000.0	23322.0	0.05552857142857143	-0.055690635	0.12579581	0.51371014	-0.4714586	6.6390843	6.9737315	54.26072	-9.743486	2.9402385e-08	-0.02746283	4.8828124e-08	-0.07517243	0.059420396	-0.008516975	157.18188	-56.91816	1.1993814	0.035196543	1.0	11.0216055	0.04497286	420000	1321.9122841358185
7	-0.309817	1.2553527	2.8237293	-2.8140166	62.8	92.04814	340.0	0.0	1000.0	27090.0	0.0564375	-0.04865961	0.09319842	0.4119641	-0.45364207	6.245353	6.5516567	55.071007	-14.848331	1.0627759e-08	-0.057985436	1.0172526e-08	-0.14057802	0.06214695	-0.0095639825	189.48766	-53.915604	1.2345779	0.036123395	2.0	11.02061	0.06836938	480000	1516.0353124141693
